#;RAJ;DECJ;P0;P1;NAME;PSRJ;PSR;BINARY;PB;
 ;(hms);(dms);(s); ; ; ;TYPE;(type);(days);
197;05:40:30.8;-71:25:31.4;1.286015;8.20e-16;J0540-7125;J0540-7125;*;*;*;
198;05:42:35;-68:16;0.425189;*;J0542-68;J0542-68;*;*;*;
199;05:43:09.6;+23:29:05;0.245975;1.54e-14;B0540+23;J0543+2329;*;*;*;
200;05:43:52.7;-68:51:25.3;0.708954;3.94e-15;J0543-6851;J0543-6851;*;*;*;
201;05:44:12;+20:50;*;*;J0544+20;J0544+20;RRAT[dsm+16];*;*;
202;05:45;-03:10;1.073930;*;J0545-03;J0545-03;RRAT;*;*;
203;05:46:28.7;+24:41:21;2.843850;7.65e-15;J0546+2441;J0546+2441;*;*;*;
204;05:50:28;+09:51;1.745000;*;J0550+09;J0550+09;RRAT[dsm+16];*;*;
205;05:54:05.0;+31:07:41;0.464961;1.43e-13;J0554+3107;J0554+3107;NRAD;*;*;
206;05:55;+39:48;1.146906;*;J0555+3948;J0555+3948;*;*;*;
207;05:55:01.8;-70:56:45.6;0.827838;5.96e-15;J0555-7056;J0555-7056;*;*;*;
208;05:57:31.4;+15:50:06.0;0.002556;7.35e-21;J0557+1550;J0557+1550;*;ELL1;4.8466;
209;06:00:46.5;-57:56:54;2.261365;2.78e-15;B0559-57;J0600-5756;*;*;*;
210;06:01:58.9;-05:27:50.5;0.395969;1.30e-15;B0559-05;J0601-0527;*;*;*;
211;06:05;+37;0.002730;*;J0605+37;J0605+37;*;BT;55.6000;
212;06:08:49;+00:39;1.076200;*;J0608+00;J0608+00;*;*;*;
213;06:09:58.8;+21:30:02.8;0.055698;2.35e-19;J0609+2130;J0609+2130;*;*;*;
214;06:10:13.5;-21:00:27.9;0.003861;1.24e-20;J0610-2100;J0610-2100;HE[egc+13];ELL1;0.2860;
215;06:11;+37:18;0.443861;*;J0610+37;J0610+37;*;*;*;
216;06:11:18;+04:06;1.674430;*;J0611+04;J0611+04;*;*;*;
217;06:11:18.6;+14:36:52;0.270329;4.00e-15;J0611+1436;J0611+1436;*;*;*;
218;06:11:16;+30:16;1.412090;*;J0611+30;J0611+30;*;*;*;
219;06:12:48.6;+37:21:37.3;0.297982;5.95e-17;B0609+37;J0612+3721;*;*;*;
220;06:13:43.9;-02:00:47.2;0.003062;9.59e-21;J0613-0200;J0613-0200;HE;ELL1;1.1985;
221;06:13:12.1;+37:31:38.3;0.619198;3.24e-15;J0613+3731;J0613+3731;*;*;*;
222;06:14:17.1;+22:30:36;0.334960;5.94e-14;B0611+22;J0614+2229;*;*;*;
223;06:14:10.3;-33:29:54.1;0.003149;1.75e-20;J0614-3329;J0614-3329;HE;BT;53.5846;
224;06:14;+83:14;1.039203;*;J0614+83;J0614+83;*;*;*;
225;06:21:11.2;+03:36:45.5;0.269954;7.24e-18;J0621+0336;J0621+0336;*;*;*;
226;06:21:22.1;+10:02:38.7;0.028854;4.73e-20;J0621+1002;J0621+1002;*;DD;8.3187;
227;06:21;+25;0.002720;*;J0621+25;J0621+25;*;*;*;
228;06:20:42;-56:05;*;*;J0621-55;J0621-55;RRAT;*;*;
229;06:22:10.5;+37:49:13.6;0.333208;2.54e-14;J0622+3749;J0622+3749;NRAD;*;*;
230;06:23:46.7;+03:40:06.8;0.613760;8.84e-17;J0623+0340;J0623+0340;*;*;*;
231;06:24:20.0;-04:24:50.4;1.039076;8.30e-16;B0621-04;J0624-0424;*;*;*;
232;06:25:45;+10:16;0.498397;*;J0625+10;J0625+10;*;*;*;
233;06:27:53.6;+06:49:54.1;0.346523;1.70e-15;J0627+0649;J0627+0649;*;*;*;
234;06:27:44.2;+07:06:12.7;0.475874;2.98e-14;J0627+0706;J0627+0706;*;*;*;
235;06:27:13;+16:12;2.180000;*;J0627+16;J0627+16;RRAT;*;*;
236;06:28:36.1;+09:09:13.9;1.241421;5.48e-16;J0628+0909;J0628+0909;RRAT;*;*;
237;06:29:05.7;+24:15:43.3;0.476623;2.00e-15;B0626+24;J0629+2415;*;*;*;
238;06:30:26.9;-00:46:05.8;0.680575;3.75e-15;J0630-0046;J0630-0046;*;*;*;
239;06:30:04;+19:37;1.248550;*;J0630+19;J0630+19;*;*;*;
240;06:30:49.4;-28:34:42.7;1.244419;7.12e-15;B0628-28;J0630-2834;HE[to05];*;*;
241;06:31:52.3;+06:46:14.2;0.110979;3.62e-15;J0631+0646;J0631+0646;NRAD;*;*;
242;06:31:27.5;+10:37:02.5;0.287800;1.05e-13;J0631+1036;J0631+1036;HE[tsn+01,waa+10];*;*;
243;06:33:44.2;+06:32:34.9;0.297395;7.96e-14;J0633+0632;J0633+0632;NRAD;*;*;
244;06:33:54.1;+17:46:12.9;0.237099;1.10e-14;J0633+1746;J0633+1746;HE;*;*;
245;06:33:08.8;-20:15:07.1;3.253211;3.82e-15;J0633-2015;J0633-2015;*;*;*;
246;06:35:18;+05:33:11;0.033856;*;J0635+0533;J0635+0533;NRAD;*;*;
247;06:36:33.7;-45:49:32.6;1.984597;3.17e-15;J0636-4549;J0636-4549;*;*;*;
248;06:36:04.8;+51:28:59.9;0.002869;3.44e-21;J0636+5129;J0636+5129;*;ELL1;0.0666;
249;06:45:59.0;+51:58:14.9;0.008853;4.92e-21;J0645+5158;J0645+5158;*;*;*;
250;06:46;+80:09;0.657873;*;J0645+80;J0645+80;*;*;*;
251;06:46:30.9;+09:05:49.3;0.903913;7.36e-16;J0646+0905;J0646+0905;*;*;*;
252;06:47:15.6;+09:13:59.5;1.234854;6.42e-15;J0647+0913;J0647+0913;*;*;*;
253;06:52:11.1;-01:42:30.3;0.924054;1.52e-16;J0652-0142;J0652-0142;*;*;*;
254;06:53;+47:06;0.004750;*;J0653+4706;J0653+4706;*;BT;5.8400;
255;06:53:15.0;+80:52:00.2;1.214441;3.80e-15;B0643+80;J0653+8051;*;*;*;
256;06:56:30.2;-22:28:25.5;1.224754;2.67e-17;J0656-2228;J0656-2228;*;*;*;
257;06:56:48.9;-54:49:14.9;0.183157;3.19e-17;J0656-5449;J0656-5449;*;*;*;
258;06:58:15.2;+00:22:35.3;0.563295;9.15e-15;J0658+0022;J0658+0022;*;*;*;
259;06:59:48.1;+14:14:21.5;0.384891;5.50e-14;B0656+14;J0659+1414;HE[chmm89,rfk+96,srg+97,w;*;*;
260;07:00:37.8;+64:18:11.2;0.195671;6.85e-19;B0655+64;J0700+6418;*;BT;1.0287;
261;07:02:39.3;-49:56:34.2;0.665994;*;J0702-4956;J0702-4956;*;*;*;
262;07:09:32.5;-59:23:55.6;0.485268;1.26e-16;J0709-5923;J0709-5923;*;*;*;
263;07:11:36.1;+09:31:25;1.214090;4.00e-16;J0711+0931;J0711+0931;*;*;*;
264;07:11:54.1;-68:30:47.4;0.005491;1.49e-20;J0711-6830;J0711-6830;*;*;*;
265;07:19:07.3;-25:45:00.2;0.974725;7.28e-15;J0719-2545;J0719-2545;*;*;*;
